カクテル名,甘辛,飲時,グラス,甘辛A,甘辛B,甘辛C,甘辛D,甘辛E,飲時前,飲時後,飲時全,グラスS,グラスM,グラスm,グラスG
ｸﾞﾘｰﾝ･ﾌｨｰﾙｽﾞ,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
ｸﾞﾗｽﾎｯﾊﾟｰ,A,後,S,1,0,0,0,0,0,1,0,1,0,0,0
ｶﾝﾊﾟﾘ･ｿｰﾀﾞ,E,前,G,0,0,0,0,1,1,0,0,0,0,0,1
ｶﾝﾊﾟﾘ･ｵﾚﾝｼﾞ,D,前,G,0,0,0,1,0,1,0,0,0,0,0,1
ｶｶｵ･ﾌｨｽﾞ,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
ﾎﾞｯﾁ･ﾎﾞｰﾙ,B,全,G,0,1,0,0,0,0,0,1,0,0,0,1
ｴﾝｼﾞｪﾙ･ﾃｨｯﾌﾟ,A,後,G,1,0,0,0,0,0,1,0,0,0,0,1
ｴﾝｼﾞｪﾙ･ｷｯｽ,A,後,G,1,0,0,0,0,0,1,0,0,0,0,1
ｱﾒﾘｶｰﾉ,D,前,G,0,0,0,1,0,1,0,0,0,0,0,1

